control_number_001,080_udc_number,udc_label_en
NBA01-003844328,792,Theatre. Stagecraft. Performing arts
NBA01-003844330,821.174.09,Latvian literature: history and criticism
NBA01-003844334,791,Cinema. Films
NBA01-003844351,75,Painting. Drawing
NBA01-003844366,793.3,Indoor games and sport
NBA01-003844367,793.3,Indoor games and sport
NBA01-003844414,791,Cinema. Films
NBA01-003844444,791,Cinema. Films
NBA01-003844452,7,Applied sciences
NBA01-003844533,636,
NBA01-003844534,7,Applied sciences
NBA01-003844576,73,Plastic arts
NBA01-003844590,792,Theatre. Stagecraft. Performing arts
NBA01-003844700,68,
NBA01-003844724,791,Cinema. Films
NBA01-003844752,792,Theatre. Stagecraft. Performing arts
NBA01-003844753,75,Painting. Drawing
NBA01-003844760,78,Music
NBA01-003844765,7,Applied sciences
NBA01-003844766,75,Painting. Drawing
NBA01-003844773,792,Theatre. Stagecraft. Performing arts
NBA01-003844786,78,Music
NBA01-003844857,791,Cinema. Films
NBA01-003844863,664,
NBA01-003844892,75,Painting. Drawing
NBA01-003844897,75,Painting. Drawing
NBA01-003844908,75,Painting. Drawing
NBA01-003844911,792,Theatre. Stagecraft. Performing arts
NBA01-003844921,793.3,Indoor games and sport
NBA01-003844922,7,Applied sciences
NBA01-003844938,7,Applied sciences
NBA01-003844940,75,Painting. Drawing
NBA01-003844966,7,Applied sciences
NBA01-003844973,7,Applied sciences
NBA01-003844980,77,Photography and similar processes
NBA01-003845040,77,Photography and similar processes
NBA01-003845070,75,Painting. Drawing
NBA01-003845099,793.3,Indoor games and sport
NBA01-003845111,791,Cinema. Films
NBA01-003845114,008,General serial publications
NBA01-003845121,31,
NBA01-003845138,664,
NBA01-003845139,73,Plastic arts
NBA01-003845177,821.174.09,Latvian literature: history and criticism
NBA01-003845211,75,Painting. Drawing
NBA01-003845249,7,Applied sciences
NBA01-003845268,902,
NBA01-003845281,821.174.09,Latvian literature: history and criticism
NBA01-003845296,663,
NBA01-003845323,7,Applied sciences
NBA01-003845332,791,Cinema. Films
NBA01-003845382,75,Painting. Drawing
NBA01-003845397,7,Applied sciences
NBA01-003845401,7,Applied sciences
NBA01-003845404,791,Cinema. Films
NBA01-003845435,7,Applied sciences
NBA01-003845459,791,Cinema. Films
NBA01-003845461,791,Cinema. Films
NBA01-003845496,791,Cinema. Films
NBA01-003845517,821.174.09,Latvian literature: history and criticism
NBA01-003845546,78,Music
NBA01-003845556,791,Cinema. Films
NBA01-003845558,75,Painting. Drawing
NBA01-003845560,78,Music
NBA01-003845571,821.174.09,Latvian literature: history and criticism
NBA01-003845612,791,Cinema. Films
NBA01-003845629,637,
NBA01-003845638,658,
NBA01-003845647,75,Painting. Drawing
NBA01-003845655,78,Music
NBA01-003845675,77,Photography and similar processes
NBA01-003845696,791,Cinema. Films
NBA01-003845715,77,Photography and similar processes
NBA01-003845719,791,Cinema. Films
NBA01-003845834,75,Painting. Drawing
NBA01-003845841,664,
NBA01-003845881,791,Cinema. Films
NBA01-003845904,793.3,Indoor games and sport
NBA01-003845948,7,Applied sciences
NBA01-003845954,75,Painting. Drawing
NBA01-003845957,791,Cinema. Films
NBA01-003845966,791,Cinema. Films
NBA01-003845967,745/749,Decorative arts. Applied arts
NBA01-003845977,664,
NBA01-003846024,621,
NBA01-003846043,791,Cinema. Films
NBA01-003846048,792,Theatre. Stagecraft. Performing arts
NBA01-003846057,75,Painting. Drawing
NBA01-003846114,75,Painting. Drawing
NBA01-003846116,791,Cinema. Films
NBA01-003846127,791,Cinema. Films
NBA01-003846139,791,Cinema. Films
NBA01-003846141,791,Cinema. Films
NBA01-003846146,791,Cinema. Films
NBA01-003846213,791,Cinema. Films
NBA01-003846227,791,Cinema. Films
NBA01-003846238,75,Painting. Drawing
NBA01-003846316,791,Cinema. Films
NBA01-003846333,75,Painting. Drawing
NBA01-003846360,793.3,Indoor games and sport
NBA01-003846371,68,
NBA01-003846430,75,Painting. Drawing
NBA01-003846433,791,Cinema. Films
NBA01-003846458,793.3,Indoor games and sport
NBA01-003846482,791,Cinema. Films
NBA01-003846500,791,Cinema. Films
NBA01-003846509,791,Cinema. Films
NBA01-003846594,929,
NBA01-003846595,793.3,Indoor games and sport
NBA01-003846597,793.3,Indoor games and sport
NBA01-003846718,68,
NBA01-003846730,77,Photography and similar processes
NBA01-003846734,75,Painting. Drawing
NBA01-003846756,75,Painting. Drawing
NBA01-003846775,664,
NBA01-003846777,664,
NBA01-003846786,664,
NBA01-003846804,75,Painting. Drawing
NBA01-003846809,77,Photography and similar processes
NBA01-003846811,792,Theatre. Stagecraft. Performing arts
NBA01-003846898,793.3,Indoor games and sport
NBA01-003846900,621,
NBA01-003846904,791,Cinema. Films
NBA01-003846918,792,Theatre. Stagecraft. Performing arts
NBA01-003846993,7,Applied sciences
NBA01-003847024,793.3,Indoor games and sport
NBA01-003847029,7,Applied sciences
NBA01-003847032,7,Applied sciences
NBA01-003847035,398,
NBA01-003847050,75,Painting. Drawing
NBA01-003847064,75,Painting. Drawing
NBA01-003847066,82.09,Literary studies. History and criticism of literature
NBA01-003847069,82.09,Literary studies. History and criticism of literature
NBA01-003847092,75,Painting. Drawing
NBA01-003847096,791,Cinema. Films
NBA01-003847101,75,Painting. Drawing
NBA01-003847120,629,
NBA01-003847174,61,
NBA01-003847178,791,Cinema. Films
NBA01-003847228,791,Cinema. Films
NBA01-003847245,791,Cinema. Films
NBA01-003847246,791,Cinema. Films
NBA01-003847255,821.174.09,Latvian literature: history and criticism
NBA01-003847302,58,
NBA01-003847318,793.3,Indoor games and sport
NBA01-003847388,791,Cinema. Films
NBA01-003847393,791,Cinema. Films
NBA01-003847407,77,Photography and similar processes
NBA01-003847423,791,Cinema. Films
NBA01-003847428,791,Cinema. Films
NBA01-003847439,656,
NBA01-003847470,793.3,Indoor games and sport
NBA01-003847485,82.09,Literary studies. History and criticism of literature
NBA01-003847526,82.09,Literary studies. History and criticism of literature
NBA01-003847553,82.09,Literary studies. History and criticism of literature
NBA01-003847569,791,Cinema. Films
NBA01-003847570,791,Cinema. Films
NBA01-003847574,745/749,Decorative arts. Applied arts
NBA01-003847588,77,Photography and similar processes
NBA01-003847606,68,
NBA01-003847630,82.09,Literary studies. History and criticism of literature
NBA01-003847638,94,
NBA01-003847649,745/749,Decorative arts. Applied arts
NBA01-003847719,791,Cinema. Films
NBA01-003847743,68,
NBA01-003847768,75,Painting. Drawing
NBA01-003847801,791,Cinema. Films
NBA01-003847843,77,Photography and similar processes
NBA01-003847844,791,Cinema. Films
NBA01-003847900,791,Cinema. Films
NBA01-003847909,792,Theatre. Stagecraft. Performing arts
NBA01-003847936,791,Cinema. Films
NBA01-003847953,791,Cinema. Films
NBA01-003847963,792,Theatre. Stagecraft. Performing arts
NBA01-003847964,791,Cinema. Films
NBA01-003847976,791,Cinema. Films
NBA01-003847982,7,Applied sciences
NBA01-003847984,7,Applied sciences
NBA01-003847985,741/744,
NBA01-003847986,791,Cinema. Films
NBA01-003848000,664,
NBA01-003848003,791,Cinema. Films
NBA01-003848032,929,
NBA01-003848055,82.09,Literary studies. History and criticism of literature
NBA01-003848056,82.09,Literary studies. History and criticism of literature
NBA01-003848057,82.09,Literary studies. History and criticism of literature
NBA01-003848104,821.174.09,Latvian literature: history and criticism
NBA01-003848133,791,Cinema. Films
NBA01-003848136,811.174,
NBA01-003848266,793.3,Indoor games and sport
NBA01-003848287,64,
NBA01-003848294,75,Painting. Drawing
NBA01-003848307,745/749,Decorative arts. Applied arts
NBA01-003848392,75,Painting. Drawing
NBA01-003848414,791,Cinema. Films
NBA01-003848451,75,Painting. Drawing
NBA01-003848475,7,Applied sciences
NBA01-003848479,82.09,Literary studies. History and criticism of literature
NBA01-003848489,77,Photography and similar processes
NBA01-003848501,793.3,Indoor games and sport
NBA01-003848551,75,Painting. Drawing
NBA01-003848567,791,Cinema. Films
NBA01-003848605,741/744,
NBA01-003848615,791,Cinema. Films
NBA01-003848642,394,Customs. Etiquette. Ceremonies
NBA01-003848688,75,Painting. Drawing
NBA01-003848761,791,Cinema. Films
NBA01-003848799,82.09,Literary studies. History and criticism of literature
NBA01-003848815,82.09,Literary studies. History and criticism of literature
NBA01-003848851,908,
NBA01-003848882,78,Music
NBA01-003848889,78,Music
NBA01-003848903,78,Music
NBA01-003848908,78,Music
NBA01-003848910,821.174.09,Latvian literature: history and criticism
NBA01-003848912,78,Music
NBA01-003848930,75,Painting. Drawing
NBA01-003848951,76,
NBA01-003848957,792,Theatre. Stagecraft. Performing arts
NBA01-003848984,78,Music
NBA01-003848986,78,Music
NBA01-003848998,792,Theatre. Stagecraft. Performing arts
NBA01-003848999,78,Music
NBA01-003849035,82.09,Literary studies. History and criticism of literature
NBA01-003849052,78,Music
NBA01-003849054,78,Music
NBA01-003849056,78,Music
NBA01-003849172,75,Painting. Drawing
NBA01-003849233,793.3,Indoor games and sport
NBA01-003849235,793.3,Indoor games and sport
NBA01-003849290,77,Photography and similar processes
NBA01-003849325,793.3,Indoor games and sport
NBA01-003849358,793.3,Indoor games and sport
NBA01-003849359,791,Cinema. Films
NBA01-003849365,633/635,
NBA01-003849380,7,Applied sciences
NBA01-003849399,791,Cinema. Films
NBA01-003849472,745/749,Decorative arts. Applied arts
NBA01-003849547,75,Painting. Drawing
NBA01-003849607,78,Music
NBA01-003849609,75,Painting. Drawing
NBA01-003849648,791,Cinema. Films
NBA01-003849660,793.3,Indoor games and sport
NBA01-003849680,908,
NBA01-003849691,78,Music
NBA01-003849733,792,Theatre. Stagecraft. Performing arts
NBA01-003849754,75,Painting. Drawing
NBA01-003849771,379.8,
NBA01-003849782,791,Cinema. Films
NBA01-003849792,791,Cinema. Films
NBA01-003849804,908,
NBA01-003849831,793.3,Indoor games and sport
NBA01-003849852,94(474.3),Latvia (geographic area)
NBA01-003849881,75,Painting. Drawing
NBA01-003849895,791.4,
NBA01-003849930,792,Theatre. Stagecraft. Performing arts
NBA01-003849931,7,Applied sciences
NBA01-003849933,791,Cinema. Films
NBA01-003849934,791,Cinema. Films
NBA01-003849935,792,Theatre. Stagecraft. Performing arts
NBA01-003849941,2,Religion. Theology
NBA01-003849983,791,Cinema. Films
NBA01-003849985,791,Cinema. Films
NBA01-003849994,77,Photography and similar processes
NBA01-003850014,791,Cinema. Films
NBA01-003850016,792,Theatre. Stagecraft. Performing arts
NBA01-003850022,791,Cinema. Films
NBA01-003850026,664,
NBA01-003850081,71,
NBA01-003850140,791,Cinema. Films
NBA01-003850259,77,Photography and similar processes
NBA01-003850289,791,Cinema. Films
NBA01-003850452,77,Photography and similar processes
NBA01-003850459,821.174.09,Latvian literature: history and criticism
NBA01-003850465,821.174.09,Latvian literature: history and criticism
NBA01-003850466,821.174.09,Latvian literature: history and criticism
NBA01-003850474,82.09,Literary studies. History and criticism of literature
NBA01-003850478,82.09,Literary studies. History and criticism of literature
NBA01-003850487,82.09,Literary studies. History and criticism of literature
NBA01-003850492,741/744,
NBA01-003850507,68,
NBA01-003850548,791,Cinema. Films
NBA01-003850614,793.3,Indoor games and sport
NBA01-003850637,793.3,Indoor games and sport
NBA01-003850661,82.09,Literary studies. History and criticism of literature
NBA01-003850691,821.174.09,Latvian literature: history and criticism
NBA01-003850698,821.174.09,Latvian literature: history and criticism
NBA01-003850713,82.09,Literary studies. History and criticism of literature
NBA01-003850735,792,Theatre. Stagecraft. Performing arts
NBA01-003850739,791,Cinema. Films
NBA01-003850752,77,Photography and similar processes
NBA01-003850758,75,Painting. Drawing
NBA01-003850774,77,Photography and similar processes
NBA01-003850776,791,Cinema. Films
NBA01-003850779,821.174.09,Latvian literature: history and criticism
NBA01-003850802,94(474.3),Latvia (geographic area)
NBA01-003850819,821.174.09,Latvian literature: history and criticism
NBA01-003850822,821.174.09,Latvian literature: history and criticism
NBA01-003850927,7,Applied sciences
NBA01-003850944,82.09,Literary studies. History and criticism of literature
NBA01-003850948,77,Photography and similar processes
NBA01-003850988,793.3,Indoor games and sport
NBA01-003851035,7,Applied sciences
NBA01-003851059,821.174.09,Latvian literature: history and criticism
NBA01-003851062,791,Cinema. Films
NBA01-003851075,792,Theatre. Stagecraft. Performing arts
NBA01-003851111,791,Cinema. Films
NBA01-003851125,7,Applied sciences
NBA01-003851130,792,Theatre. Stagecraft. Performing arts
NBA01-003851155,73,Plastic arts
NBA01-003851185,793.3,Indoor games and sport
NBA01-003851211,75,Painting. Drawing
NBA01-003851226,821.174.09,Latvian literature: history and criticism
NBA01-003851228,792,Theatre. Stagecraft. Performing arts
NBA01-003851233,791,Cinema. Films
NBA01-003851234,377,
NBA01-003851303,75,Painting. Drawing
NBA01-003851332,636,
NBA01-003851359,75,Painting. Drawing
NBA01-003851453,791,Cinema. Films
NBA01-003851474,792,Theatre. Stagecraft. Performing arts
NBA01-003851477,792,Theatre. Stagecraft. Performing arts
NBA01-003851496,82.09,Literary studies. History and criticism of literature
NBA01-003851518,7,Applied sciences
NBA01-003851530,791,Cinema. Films
NBA01-003851542,78,Music
NBA01-003851554,72,
NBA01-003851571,791,Cinema. Films
NBA01-003851576,82.09,Literary studies. History and criticism of literature
NBA01-003851617,78,Music
NBA01-003851669,77,Photography and similar processes
NBA01-003851671,745/749,Decorative arts. Applied arts
NBA01-003851686,791,Cinema. Films
NBA01-003851700,793.3,Indoor games and sport
NBA01-003851754,77,Photography and similar processes
NBA01-003851796,791,Cinema. Films
NBA01-003851807,791,Cinema. Films
NBA01-003851858,7,Applied sciences
NBA01-003851865,7,Applied sciences
NBA01-003851921,78,Music
NBA01-003851930,75,Painting. Drawing
NBA01-003852036,78,Music
NBA01-003852060,791,Cinema. Films
NBA01-003852061,791,Cinema. Films
NBA01-003852064,791,Cinema. Films
NBA01-003852070,791,Cinema. Films
NBA01-003852106,791,Cinema. Films
NBA01-003852126,791,Cinema. Films
NBA01-003852133,791,Cinema. Films
NBA01-003852149,336,
NBA01-003852158,791,Cinema. Films
NBA01-003852220,72,
NBA01-003852309,791,Cinema. Films
NBA01-003852329,791,Cinema. Films
NBA01-003852338,791,Cinema. Films
NBA01-003852344,791,Cinema. Films
NBA01-003852353,791,Cinema. Films
NBA01-003852374,75,Painting. Drawing
NBA01-003852377,75,Painting. Drawing
NBA01-003852380,791,Cinema. Films
NBA01-003852392,821.174.09,Latvian literature: history and criticism
NBA01-003852411,792,Theatre. Stagecraft. Performing arts
NBA01-003852435,82.09,Literary studies. History and criticism of literature
NBA01-003852472,793.3,Indoor games and sport
NBA01-003852483,793.3,Indoor games and sport
NBA01-003852491,791,Cinema. Films
NBA01-003852497,821.174.09,Latvian literature: history and criticism
NBA01-003852502,68,
NBA01-003852507,78,Music
NBA01-003852576,069,Museums
NBA01-003852581,791,Cinema. Films
NBA01-003852612,791,Cinema. Films
NBA01-003852706,94(474.3),Latvia (geographic area)
NBA01-003852729,791,Cinema. Films
NBA01-003852757,793.3,Indoor games and sport
NBA01-003852766,7,Applied sciences
NBA01-003852777,77,Photography and similar processes
NBA01-003852801,821.174.09,Latvian literature: history and criticism
NBA01-003852806,654,
NBA01-003852810,791,Cinema. Films
NBA01-003852826,908,
NBA01-003852829,75,Painting. Drawing
NBA01-003852834,664,
NBA01-003852837,745/749,Decorative arts. Applied arts
NBA01-003852874,791,Cinema. Films
NBA01-003852898,7,Applied sciences
NBA01-003852947,791,Cinema. Films
NBA01-003852957,745/749,Decorative arts. Applied arts
NBA01-003852976,791,Cinema. Films
NBA01-003852991,793.3,Indoor games and sport
NBA01-003853027,791,Cinema. Films
NBA01-003853035,791,Cinema. Films
NBA01-003853052,791,Cinema. Films
NBA01-003853057,77,Photography and similar processes
NBA01-003853095,791,Cinema. Films
NBA01-003853100,76,
NBA01-003853107,7,Applied sciences
NBA01-003853150,792,Theatre. Stagecraft. Performing arts
NBA01-003853160,78,Music
NBA01-003853167,7,Applied sciences
NBA01-003853170,821.174.09,Latvian literature: history and criticism
NBA01-003853184,821.174.09,Latvian literature: history and criticism
NBA01-003853190,792,Theatre. Stagecraft. Performing arts
NBA01-003853192,68,
NBA01-003853199,7,Applied sciences
NBA01-003853221,7,Applied sciences
NBA01-003853263,791,Cinema. Films
NBA01-003853268,821.174.09,Latvian literature: history and criticism
NBA01-003853282,793.3,Indoor games and sport
NBA01-003853369,791,Cinema. Films
NBA01-003853433,791,Cinema. Films
NBA01-003853436,77,Photography and similar processes
NBA01-003853454,791,Cinema. Films
NBA01-003853509,91,
NBA01-003853518,793.21,
NBA01-003853578,77,Photography and similar processes
NBA01-003853632,821.174.09,Latvian literature: history and criticism
NBA01-003853694,791,Cinema. Films
NBA01-003853761,73,Plastic arts
NBA01-003853782,791,Cinema. Films
NBA01-003853796,791,Cinema. Films
NBA01-003853831,77,Photography and similar processes
NBA01-003853835,77,Photography and similar processes
NBA01-003853893,791,Cinema. Films
NBA01-003853979,355.48,
NBA01-003854001,791,Cinema. Films
NBA01-003854011,77,Photography and similar processes
NBA01-003854032,73,Plastic arts
NBA01-003854033,745/749,Decorative arts. Applied arts
NBA01-003854050,7,Applied sciences
NBA01-003854056,7,Applied sciences
NBA01-003854110,64,
NBA01-003854133,791,Cinema. Films
NBA01-003854188,791,Cinema. Films
NBA01-003854205,621,
NBA01-003854228,7,Applied sciences
NBA01-003854231,7,Applied sciences
NBA01-003854236,75,Painting. Drawing
NBA01-003854243,791,Cinema. Films
NBA01-003854272,791,Cinema. Films
NBA01-003854320,791,Cinema. Films
NBA01-003854326,791,Cinema. Films
NBA01-003854414,75,Painting. Drawing
NBA01-003854440,791,Cinema. Films
NBA01-003854448,75,Painting. Drawing
NBA01-003854485,75,Painting. Drawing
NBA01-003854487,75,Painting. Drawing
NBA01-003854500,75,Painting. Drawing
NBA01-003854508,792,Theatre. Stagecraft. Performing arts
NBA01-003854512,75,Painting. Drawing
NBA01-003854516,75,Painting. Drawing
NBA01-003854555,77,Photography and similar processes
NBA01-003854641,791,Cinema. Films
NBA01-003854648,745/749,Decorative arts. Applied arts
NBA01-003854664,791,Cinema. Films
NBA01-003854670,791,Cinema. Films
NBA01-003854674,791,Cinema. Films
NBA01-003854705,75,Painting. Drawing
NBA01-003854724,741/744,
NBA01-003854732,77,Photography and similar processes
NBA01-003854797,77,Photography and similar processes
NBA01-003854812,77,Photography and similar processes
NBA01-003854839,631,
NBA01-003854840,821.174.09,Latvian literature: history and criticism
NBA01-003854858,791,Cinema. Films
NBA01-003854873,793.3,Indoor games and sport
NBA01-003854882,792,Theatre. Stagecraft. Performing arts
NBA01-003854883,75,Painting. Drawing
NBA01-003854889,792,Theatre. Stagecraft. Performing arts
NBA01-003854898,82.09,Literary studies. History and criticism of literature
NBA01-003854907,791,Cinema. Films
NBA01-003854926,791,Cinema. Films
NBA01-003854935,793.3,Indoor games and sport
NBA01-003854971,73,Plastic arts
NBA01-003855004,792,Theatre. Stagecraft. Performing arts
NBA01-003855013,75,Painting. Drawing
NBA01-003855072,68,
NBA01-003855095,791,Cinema. Films
NBA01-003855132,745/749,Decorative arts. Applied arts
NBA01-003855139,398,
NBA01-003855140,664,
NBA01-003855145,791,Cinema. Films
NBA01-003855160,06,
NBA01-003855165,791,Cinema. Films
NBA01-003855204,791,Cinema. Films
NBA01-003855218,793.3,Indoor games and sport
NBA01-003855268,75,Painting. Drawing
NBA01-003855316,78,Music
NBA01-003855400,811.174,
NBA01-003855414,82.09,Literary studies. History and criticism of literature
NBA01-003855442,792,Theatre. Stagecraft. Performing arts
NBA01-003855453,792,Theatre. Stagecraft. Performing arts
NBA01-003855495,75,Painting. Drawing
NBA01-003855510,323,
NBA01-003855518,821.174.09,Latvian literature: history and criticism
NBA01-003855564,792,Theatre. Stagecraft. Performing arts
NBA01-003855659,94(474.3),Latvia (geographic area)
NBA01-003855700,791,Cinema. Films
NBA01-003855704,791,Cinema. Films
NBA01-003855761,745/749,Decorative arts. Applied arts
NBA01-003855780,73,Plastic arts
NBA01-003855815,791,Cinema. Films
NBA01-003855820,908,
NBA01-003855823,792,Theatre. Stagecraft. Performing arts
NBA01-003855841,73,Plastic arts
NBA01-003855926,73,Plastic arts
NBA01-003855981,82.09,Literary studies. History and criticism of literature
NBA01-003856141,791,Cinema. Films
NBA01-003856147,791,Cinema. Films
NBA01-003856267,792,Theatre. Stagecraft. Performing arts
NBA01-003856337,355/359,
NBA01-003856377,77,Photography and similar processes
NBA01-003856385,7,Applied sciences
NBA01-003856400,75,Painting. Drawing
NBA01-003856441,791,Cinema. Films
NBA01-003856465,821.174.09,Latvian literature: history and criticism
NBA01-003856466,792,Theatre. Stagecraft. Performing arts
NBA01-003856475,791,Cinema. Films
NBA01-003856554,7,Applied sciences
NBA01-003856637,791,Cinema. Films
NBA01-003856645,791,Cinema. Films
NBA01-003856680,78,Music
NBA01-003856697,77,Photography and similar processes
NBA01-003856732,745/749,Decorative arts. Applied arts
NBA01-003856859,656.8,
NBA01-003856868,791,Cinema. Films
NBA01-003856900,792,Theatre. Stagecraft. Performing arts
NBA01-003856957,64,
NBA01-003857040,791,Cinema. Films
NBA01-003857082,7,Applied sciences
NBA01-003857086,792,Theatre. Stagecraft. Performing arts
NBA01-003857090,821.174.09,Latvian literature: history and criticism
NBA01-003857168,791,Cinema. Films
NBA01-003857184,745/749,Decorative arts. Applied arts
NBA01-003857226,75,Painting. Drawing
NBA01-003857234,791,Cinema. Films
NBA01-003857289,792,Theatre. Stagecraft. Performing arts
NBA01-003857343,796,
NBA01-003857394,791,Cinema. Films
NBA01-003857419,664,
NBA01-003857424,664,
NBA01-003857516,664,
NBA01-003857521,791,Cinema. Films
NBA01-003857610,792,Theatre. Stagecraft. Performing arts
NBA01-003857618,792,Theatre. Stagecraft. Performing arts
NBA01-003857626,792,Theatre. Stagecraft. Performing arts
NBA01-003857636,374,
NBA01-003857660,82.09,Literary studies. History and criticism of literature
NBA01-003857718,741/744,
NBA01-003857721,76,
NBA01-003857775,664,
NBA01-003857804,791,Cinema. Films
NBA01-003857849,78,Music
NBA01-003857867,793.3,Indoor games and sport
NBA01-003857891,638,
NBA01-003857906,02,
NBA01-003857925,64,
NBA01-003857969,7,Applied sciences
NBA01-003858017,656.8,
NBA01-003858025,78,Music
NBA01-003858030,791,Cinema. Films
NBA01-003858083,791,Cinema. Films
NBA01-003858087,791,Cinema. Films
NBA01-003858162,75,Painting. Drawing
NBA01-003858175,631,
NBA01-003858182,791,Cinema. Films
NBA01-003858222,77,Photography and similar processes
NBA01-003858231,791,Cinema. Films
NBA01-003858237,791,Cinema. Films
NBA01-003858243,792,Theatre. Stagecraft. Performing arts
NBA01-003858261,793.3,Indoor games and sport
NBA01-003858280,81,
NBA01-003858309,37.09,
NBA01-003858343,821.174.09,Latvian literature: history and criticism
NBA01-003858356,82.09,Literary studies. History and criticism of literature
NBA01-003858360,82.09,Literary studies. History and criticism of literature
NBA01-003858368,82.09,Literary studies. History and criticism of literature
NBA01-003858374,663,
NBA01-003858382,82.09,Literary studies. History and criticism of literature
NBA01-003858391,82.09,Literary studies. History and criticism of literature
NBA01-003858393,791,Cinema. Films
NBA01-003858397,629,
NBA01-003858402,821.174.09,Latvian literature: history and criticism
NBA01-003858411,82.09,Literary studies. History and criticism of literature
NBA01-003858415,78,Music
NBA01-003858427,78,Music
NBA01-003858431,76,
NBA01-003858447,908,
NBA01-003858456,821.174.09,Latvian literature: history and criticism
NBA01-003858505,502/504,
NBA01-003858515,821.174.09,Latvian literature: history and criticism
NBA01-003858523,791,Cinema. Films
NBA01-003858615,791,Cinema. Films
NBA01-003858635,75,Painting. Drawing
NBA01-003858637,7,Applied sciences
NBA01-003858655,821.174.09,Latvian literature: history and criticism
NBA01-003858687,792,Theatre. Stagecraft. Performing arts
NBA01-003858695,792,Theatre. Stagecraft. Performing arts
NBA01-003858697,78,Music
NBA01-003858698,821.174.09,Latvian literature: history and criticism
NBA01-003858718,75,Painting. Drawing
NBA01-003858769,7,Applied sciences
NBA01-003858888,374,
NBA01-003858894,77,Photography and similar processes
NBA01-003858938,654,
NBA01-003859006,791,Cinema. Films
NBA01-003859057,069,Museums
NBA01-003859103,821.174.09,Latvian literature: history and criticism
NBA01-003859135,792,Theatre. Stagecraft. Performing arts
NBA01-003859140,745/749,Decorative arts. Applied arts
NBA01-003859148,821.174.09,Latvian literature: history and criticism
NBA01-003859221,77,Photography and similar processes
NBA01-003859224,793.3,Indoor games and sport
NBA01-003859241,75,Painting. Drawing
NBA01-003859242,78,Music
NBA01-003859267,629,
NBA01-003859273,68,
NBA01-003859310,75,Painting. Drawing
NBA01-003859314,821.174.09,Latvian literature: history and criticism
NBA01-003859454,821.174.09,Latvian literature: history and criticism
NBA01-003859498,7,Applied sciences
NBA01-003859514,631,
NBA01-003859521,66,
NBA01-003859551,792,Theatre. Stagecraft. Performing arts
NBA01-003859572,75,Painting. Drawing
NBA01-003859601,7,Applied sciences
NBA01-003859602,792,Theatre. Stagecraft. Performing arts
NBA01-003859670,793.3,Indoor games and sport
NBA01-003859677,64,
NBA01-003859690,664,
NBA01-003859727,82.09,Literary studies. History and criticism of literature
NBA01-003859730,791,Cinema. Films
NBA01-003859734,791,Cinema. Films
NBA01-003859759,791,Cinema. Films
NBA01-003859777,77,Photography and similar processes
NBA01-003859796,791,Cinema. Films
NBA01-003859802,793.3,Indoor games and sport
NBA01-003859869,7,Applied sciences
NBA01-003859893,821.174.09,Latvian literature: history and criticism
NBA01-003859934,82.09,Literary studies. History and criticism of literature
NBA01-003859940,792,Theatre. Stagecraft. Performing arts
NBA01-003859948,75,Painting. Drawing
NBA01-003860002,791,Cinema. Films
NBA01-003860009,791,Cinema. Films
NBA01-003860012,75,Painting. Drawing
NBA01-003860025,792,Theatre. Stagecraft. Performing arts
NBA01-003860030,78,Music
NBA01-003860035,7,Applied sciences
NBA01-003860038,7,Applied sciences
NBA01-003860040,792,Theatre. Stagecraft. Performing arts
NBA01-003860041,791,Cinema. Films
NBA01-003860045,7,Applied sciences
NBA01-003860050,791,Cinema. Films
NBA01-003860060,792,Theatre. Stagecraft. Performing arts
NBA01-003860064,75,Painting. Drawing
NBA01-003860070,791,Cinema. Films
NBA01-003860092,75,Painting. Drawing
NBA01-003860125,75,Painting. Drawing
NBA01-003860194,791,Cinema. Films
NBA01-003860243,77,Photography and similar processes
NBA01-003860315,2,Religion. Theology
NBA01-003860317,791,Cinema. Films
NBA01-003860424,745/749,Decorative arts. Applied arts
NBA01-003860467,791,Cinema. Films
NBA01-003860518,821.174.09,Latvian literature: history and criticism
NBA01-003860556,82.09,Literary studies. History and criticism of literature
NBA01-003860571,792,Theatre. Stagecraft. Performing arts
NBA01-003860573,791,Cinema. Films
NBA01-003860606,159.9,
NBA01-003860612,908,
NBA01-003860632,791,Cinema. Films
NBA01-003860639,2,Religion. Theology
NBA01-003860669,75,Painting. Drawing
NBA01-003860701,791,Cinema. Films
NBA01-003860739,94(474.3),Latvia (geographic area)
NBA01-003860761,745/749,Decorative arts. Applied arts
NBA01-003860787,77,Photography and similar processes
NBA01-003860792,796,
NBA01-003860794,06,
NBA01-003860841,77,Photography and similar processes
NBA01-003860904,791,Cinema. Films
NBA01-003860907,791,Cinema. Films
NBA01-003860996,741/744,
NBA01-003861014,791,Cinema. Films
NBA01-003861033,791,Cinema. Films
NBA01-003861034,664,
NBA01-003861051,78,Music
NBA01-003861060,78,Music
NBA01-003861062,791,Cinema. Films
NBA01-003861068,78,Music
NBA01-003861070,78,Music
NBA01-003861093,745/749,Decorative arts. Applied arts
NBA01-003861189,664,
NBA01-003861208,75,Painting. Drawing
NBA01-003861214,791,Cinema. Films
NBA01-003861236,791,Cinema. Films
NBA01-003861238,792,Theatre. Stagecraft. Performing arts
NBA01-003861251,7,Applied sciences
NBA01-003861252,791,Cinema. Films
NBA01-003861257,73,Plastic arts
NBA01-003861258,82.09,Literary studies. History and criticism of literature
